"","PID","condition_1","Participant.Status","condOrder","Zone.Type","ratings","condition_2"
"78",5241953,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","-4","noD 0 trial"
"182",5241953,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","0","multiple 24 negative"
"334",5241953,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","0","multiple 72 negative"
"422",5241953,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","0","multiple 8 negative"
"504",5228305,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","-10","noD 0 trial"
"592",5228305,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","1","multiple 8 negative"
"744",5228305,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","0","multiple 72 negative"
"848",5228305,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","1","multiple 24 negative"
"930",5187657,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","-4","noD 0 trial"
"1018",5187657,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","1","multiple 8 negative"
"1122",5187657,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","2","multiple 24 negative"
"1274",5187657,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","-4","multiple 72 negative"
"1428",5181977,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","3","multiple 72 negative"
"1508",5181977,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","-2","noD 0 trial"
"1612",5181977,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","-2","multiple 24 negative"
"1700",5181977,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","1","multiple 8 negative"
"1790",5175385,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","-4","multiple 8 negative"
"1870",5175385,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","-2","noD 0 trial"
"2022",5175385,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","-9","multiple 72 negative"
"2126",5175385,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","-5","multiple 24 negative"
"2232",5139418,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","-6","multiple 24 negative"
"2384",5139418,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","3","multiple 72 negative"
"2464",5139418,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","-4","noD 0 trial"
"2552",5139418,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","-3","multiple 8 negative"
"2642",5128700,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","1","multiple 8 negative"
"2722",5128700,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","-4","noD 0 trial"
"2826",5128700,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","-3","multiple 24 negative"
"2978",5128700,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","3","multiple 72 negative"
"3068",5122707,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","-4","multiple 8 negative"
"3148",5122707,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","4","noD 0 trial"
"3300",5122707,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","4","multiple 72 negative"
"3404",5122707,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","0","multiple 24 negative"
"3510",5075757,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","5","multiple 24 negative"
"3590",5075757,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","-3","noD 0 trial"
"3678",5075757,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","-6","multiple 8 negative"
"3830",5075757,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","-5","multiple 72 negative"
"3920",5190863,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","-5","multiple 8 negative"
"4000",5190863,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","-1","noD 0 trial"
"4152",5190863,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","-6","multiple 72 negative"
"4256",5190863,"Trash_Multiple_Negative","complete","ESM","response_slider_endValue","-10","multiple 24 negative"
"150",5239848,"Empty_Neutral","complete","SME","response_slider_endValue","3","empty 72 neutral"
"254",5239848,"Empty_Neutral","complete","SME","response_slider_endValue","5","empty 24 neutral"
"342",5239848,"Empty_Neutral","complete","SME","response_slider_endValue","4","empty 8 neutral"
"432",5232868,"Empty_Neutral","complete","SME","response_slider_endValue","5","empty 8 neutral"
"584",5232868,"Empty_Neutral","complete","SME","response_slider_endValue","4","empty 72 neutral"
"688",5232868,"Empty_Neutral","complete","SME","response_slider_endValue","4","empty 24 neutral"
"778",5175439,"Empty_Neutral","complete","SME","response_slider_endValue","-10","empty 8 neutral"
"882",5175439,"Empty_Neutral","complete","SME","response_slider_endValue","10","empty 24 neutral"
"1034",5175439,"Empty_Neutral","complete","SME","response_slider_endValue","-10","empty 72 neutral"
"1140",5122890,"Empty_Neutral","complete","SME","response_slider_endValue","0","empty 24 neutral"
"1228",5122890,"Empty_Neutral","complete","SME","response_slider_endValue","2","empty 8 neutral"
"1380",5122890,"Empty_Neutral","complete","SME","response_slider_endValue","2","empty 72 neutral"
"1486",5059700,"Empty_Neutral","complete","SME","response_slider_endValue","10","empty 24 neutral"
"1638",5059700,"Empty_Neutral","complete","SME","response_slider_endValue","10","empty 72 neutral"
"1726",5059700,"Empty_Neutral","complete","SME","response_slider_endValue","10","empty 8 neutral"
"1832",5056786,"Empty_Neutral","complete","SME","response_slider_endValue","3","empty 24 neutral"
"1920",5056786,"Empty_Neutral","complete","SME","response_slider_endValue","6","empty 8 neutral"
"2072",5056786,"Empty_Neutral","complete","SME","response_slider_endValue","4","empty 72 neutral"
"2162",5132531,"Empty_Neutral","complete","SME","response_slider_endValue","8","empty 8 neutral"
"2314",5132531,"Empty_Neutral","complete","SME","response_slider_endValue","9","empty 72 neutral"
"2418",5132531,"Empty_Neutral","complete","SME","response_slider_endValue","6","empty 24 neutral"
"2524",5184376,"Empty_Neutral","complete","SME","response_slider_endValue","-3","empty 24 neutral"
"2612",5184376,"Empty_Neutral","complete","SME","response_slider_endValue","6","empty 8 neutral"
"2764",5184376,"Empty_Neutral","complete","SME","response_slider_endValue","-4","empty 72 neutral"
"2870",5163151,"Empty_Neutral","complete","SME","response_slider_endValue","-1","empty 24 neutral"
"2958",5163151,"Empty_Neutral","complete","SME","response_slider_endValue","2","empty 8 neutral"
"3110",5163151,"Empty_Neutral","complete","SME","response_slider_endValue","2","empty 72 neutral"
"86",5187657,"Empty_Neutral","complete","ESM","response_slider_endValue","2","empty 8 neutral"
"190",5187657,"Empty_Neutral","complete","ESM","response_slider_endValue","-3","empty 24 neutral"
"3421",5187657,"Empty_Neutral","complete","ESM","response_slider_endValue","6","empty 72 neutral"
"448",5241953,"Empty_Neutral","complete","ESM","response_slider_endValue","-5","empty 24 neutral"
"600",5241953,"Empty_Neutral","complete","ESM","response_slider_endValue","-4","empty 72 neutral"
"6881",5241953,"Empty_Neutral","complete","ESM","response_slider_endValue","2","empty 8 neutral"
"794",5228305,"Empty_Neutral","complete","ESM","response_slider_endValue","0","empty 24 neutral"
"946",5228305,"Empty_Neutral","complete","ESM","response_slider_endValue","1","empty 72 neutral"
"10341",5228305,"Empty_Neutral","complete","ESM","response_slider_endValue","0","empty 8 neutral"
"1188",5190863,"Empty_Neutral","complete","ESM","response_slider_endValue","-5","empty 72 neutral"
"1276",5190863,"Empty_Neutral","complete","ESM","response_slider_endValue","-9","empty 8 neutral"
"13801",5190863,"Empty_Neutral","complete","ESM","response_slider_endValue","-10","empty 24 neutral"
"14861",5181977,"Empty_Neutral","complete","ESM","response_slider_endValue","3","empty 24 neutral"
"16381",5181977,"Empty_Neutral","complete","ESM","response_slider_endValue","-5","empty 72 neutral"
"17261",5181977,"Empty_Neutral","complete","ESM","response_slider_endValue","0","empty 8 neutral"
"18321",5175385,"Empty_Neutral","complete","ESM","response_slider_endValue","7","empty 24 neutral"
"19201",5175385,"Empty_Neutral","complete","ESM","response_slider_endValue","8","empty 8 neutral"
"20721",5175385,"Empty_Neutral","complete","ESM","response_slider_endValue","6","empty 72 neutral"
"2226",5139418,"Empty_Neutral","complete","ESM","response_slider_endValue","4","empty 72 neutral"
"23141",5139418,"Empty_Neutral","complete","ESM","response_slider_endValue","7","empty 8 neutral"
"24181",5139418,"Empty_Neutral","complete","ESM","response_slider_endValue","4","empty 24 neutral"
"25241",5128700,"Empty_Neutral","complete","ESM","response_slider_endValue","-2","empty 24 neutral"
"2676",5128700,"Empty_Neutral","complete","ESM","response_slider_endValue","3","empty 72 neutral"
"27641",5128700,"Empty_Neutral","complete","ESM","response_slider_endValue","2","empty 8 neutral"
"2918",5122707,"Empty_Neutral","complete","ESM","response_slider_endValue","-5","empty 72 neutral"
"3006",5122707,"Empty_Neutral","complete","ESM","response_slider_endValue","0","empty 8 neutral"
