,PID,status,blockorder,condition_1,Zone.Type,ratings,condition_2,samplegroup
150,6067091,complete,ENS,Empty_Positive,response_slider_endValue,7,empty 72 positive,82781
246,6067091,complete,ENS,Empty_Positive,response_slider_endValue,1,empty 16 positive,82781
400,6067172,complete,ENS,Empty_Positive,response_slider_endValue,8,empty 72 positive,82781
496,6067172,complete,ENS,Empty_Positive,response_slider_endValue,8,empty 16 positive,82781
594,6067702,complete,ENS,Empty_Positive,response_slider_endValue,9,empty 16 positive,82781
746,6067702,complete,ENS,Empty_Positive,response_slider_endValue,5,empty 72 positive,82781
900,6067740,complete,ENS,Empty_Positive,response_slider_endValue,5,empty 72 positive,82781
996,6067740,complete,ENS,Empty_Positive,response_slider_endValue,-5,empty 16 positive,82781
1094,6067939,complete,ENS,Empty_Positive,response_slider_endValue,5,empty 16 positive,82781
1246,6067939,complete,ENS,Empty_Positive,response_slider_endValue,3,empty 72 positive,82781
1400,11485999,complete,ENS,Empty_Positive,response_slider_endValue,7,empty 72 positive,82781
1496,11485999,complete,ENS,Empty_Positive,response_slider_endValue,7,empty 16 positive,82781
1594,11485998,complete,ENS,Empty_Positive,response_slider_endValue,2,empty 16 positive,82781
1746,11485998,complete,ENS,Empty_Positive,response_slider_endValue,2,empty 72 positive,82781
1844,11485990,complete,ENS,Empty_Positive,response_slider_endValue,8,empty 16 positive,82781
1996,11485990,complete,ENS,Empty_Positive,response_slider_endValue,7,empty 72 positive,82781
2150,11486015,complete,ENS,Empty_Positive,response_slider_endValue,-5,empty 72 positive,82781
2246,11486015,complete,ENS,Empty_Positive,response_slider_endValue,4,empty 16 positive,82781
2344,11486039,complete,ENS,Empty_Positive,response_slider_endValue,5,empty 16 positive,82781
2496,11486039,complete,ENS,Empty_Positive,response_slider_endValue,4,empty 72 positive,82781
2650,11486198,complete,ENS,Empty_Positive,response_slider_endValue,7,empty 72 positive,82781
2746,11486198,complete,ENS,Empty_Positive,response_slider_endValue,8,empty 16 positive,82781
94,6067103,complete,NSE,Empty_Positive,response_slider_endValue,4,empty 16 positive,82781
2461,6067103,complete,NSE,Empty_Positive,response_slider_endValue,3,empty 72 positive,82781
344,6067686,complete,NSE,Empty_Positive,response_slider_endValue,10,empty 16 positive,82781
4961,6067686,complete,NSE,Empty_Positive,response_slider_endValue,10,empty 72 positive,82781
650,6067705,complete,NSE,Empty_Positive,response_slider_endValue,2,empty 72 positive,82781
7461,6067705,complete,NSE,Empty_Positive,response_slider_endValue,6,empty 16 positive,82781
9001,6067920,complete,NSE,Empty_Positive,response_slider_endValue,-8,empty 72 positive,82781
9961,6067920,complete,NSE,Empty_Positive,response_slider_endValue,5,empty 16 positive,82781
1150,6080138,complete,NSE,Empty_Positive,response_slider_endValue,4,empty 72 positive,82781
12461,6080138,complete,NSE,Empty_Positive,response_slider_endValue,5,empty 16 positive,82781
14001,11486031,complete,NSE,Empty_Positive,response_slider_endValue,7,empty 72 positive,82781
14961,11486031,complete,NSE,Empty_Positive,response_slider_endValue,7,empty 16 positive,82781
15941,11486053,complete,NSE,Empty_Positive,response_slider_endValue,7,empty 16 positive,82781
17461,11486053,complete,NSE,Empty_Positive,response_slider_endValue,8,empty 72 positive,82781
18441,11486011,complete,NSE,Empty_Positive,response_slider_endValue,8,empty 16 positive,82781
19961,11486011,complete,NSE,Empty_Positive,response_slider_endValue,-7,empty 72 positive,82781
2094,11486010,complete,NSE,Empty_Positive,response_slider_endValue,6,empty 16 positive,82781
22461,11486010,complete,NSE,Empty_Positive,response_slider_endValue,5,empty 72 positive,82781
23441,11486056,complete,NSE,Empty_Positive,response_slider_endValue,9,empty 16 positive,82781
24961,11486056,complete,NSE,Empty_Positive,response_slider_endValue,8,empty 72 positive,82781
2594,11486201,complete,NSE,Empty_Positive,response_slider_endValue,4,empty 16 positive,82781
27461,11486201,complete,NSE,Empty_Positive,response_slider_endValue,4,empty 72 positive,82781
1501,6067110,complete,ESN,Empty_Positive,response_slider_endValue,4,empty 72 positive,82781
2462,6067110,complete,ESN,Empty_Positive,response_slider_endValue,7,empty 16 positive,82781
4001,6067617,complete,ESN,Empty_Positive,response_slider_endValue,2,empty 72 positive,82781
4962,6067617,complete,ESN,Empty_Positive,response_slider_endValue,3,empty 16 positive,82781
5941,11485988,complete,ESN,Empty_Positive,response_slider_endValue,8,empty 16 positive,82781
7462,11485988,complete,ESN,Empty_Positive,response_slider_endValue,6,empty 72 positive,82781
844,11486012,complete,ESN,Empty_Positive,response_slider_endValue,4,empty 16 positive,82781
9962,11486012,complete,ESN,Empty_Positive,response_slider_endValue,3,empty 72 positive,82781
11501,11486040,complete,ESN,Empty_Positive,response_slider_endValue,5,empty 72 positive,82781
12462,11486040,complete,ESN,Empty_Positive,response_slider_endValue,7,empty 16 positive,82781
1344,6067865,complete,ESN,Empty_Positive,response_slider_endValue,6,empty 16 positive,82781
14962,6067865,complete,ESN,Empty_Positive,response_slider_endValue,3,empty 72 positive,82781
1650,11486019,complete,ESN,Empty_Positive,response_slider_endValue,2,empty 72 positive,82781
17462,11486019,complete,ESN,Empty_Positive,response_slider_endValue,7,empty 16 positive,82781
1900,11486036,complete,ESN,Empty_Positive,response_slider_endValue,7,empty 72 positive,82781
19962,11486036,complete,ESN,Empty_Positive,response_slider_endValue,4,empty 16 positive,82781
21501,6068488,complete,ESN,Empty_Positive,response_slider_endValue,-7,empty 72 positive,82781
22462,6068488,complete,ESN,Empty_Positive,response_slider_endValue,-10,empty 16 positive,82781
2400,11486194,complete,ESN,Empty_Positive,response_slider_endValue,6,empty 72 positive,82781
24962,11486194,complete,ESN,Empty_Positive,response_slider_endValue,7,empty 16 positive,82781
1502,6067181,complete,NES,Trash_Single_Positive,response_slider_endValue,-5,single 72 positive,82781
2463,6067181,complete,NES,Trash_Single_Positive,response_slider_endValue,-7,single 16 positive,82781
4002,6067676,complete,NES,Trash_Single_Positive,response_slider_endValue,5,single 72 positive,82781
4963,6067676,complete,NES,Trash_Single_Positive,response_slider_endValue,8,single 16 positive,82781
6501,6067969,complete,NES,Trash_Single_Positive,response_slider_endValue,1,single 72 positive,82781
7463,6067969,complete,NES,Trash_Single_Positive,response_slider_endValue,8,single 16 positive,82781
8441,6070088,complete,NES,Trash_Single_Positive,response_slider_endValue,10,single 16 positive,82781
9963,6070088,complete,NES,Trash_Single_Positive,response_slider_endValue,-9,single 72 positive,82781
10941,11486000,complete,NES,Trash_Single_Positive,response_slider_endValue,8,single 16 positive,82781
