Event Index,UTC Timestamp,Local Timestamp,Local Timezone,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-sece,branch-52yw,branch-k19s,randomiser-ilmk,order-cg81,order-f5ck,order-w8r4,order-mnhh,order-lgbu,order-f4f2,order-cdib,order-v22n,order-zlxs,order-flk3,order-e65y,order-6gm2,Randomise questionnaire elements?,Question Key,Response
1,1.65E+12,1.65E+12,-4,82781,2,questionnaire-5uc8,,20460994,ri0x2syc,6067091,,complete,xkkzzv,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x714,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ENS,,,,,,,,,,BA,,BA,No,BEGIN QUESTIONNAIRE,
2,1.65E+12,1.65E+12,-4,82781,2,questionnaire-5uc8,,20460994,ri0x2syc,6067091,,complete,xkkzzv,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x714,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ENS,,,,,,,,,,BA,,BA,No,Age,39
3,1.65E+12,1.65E+12,-4,82781,2,questionnaire-5uc8,,20460994,ri0x2syc,6067091,,complete,xkkzzv,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x714,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ENS,,,,,,,,,,BA,,BA,No,Age-quantised,23
4,1.65E+12,1.65E+12,-4,82781,2,questionnaire-5uc8,,20460994,ri0x2syc,6067091,,complete,xkkzzv,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x714,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ENS,,,,,,,,,,BA,,BA,No,Gender,Female
5,1.65E+12,1.65E+12,-4,82781,2,questionnaire-5uc8,,20460994,ri0x2syc,6067091,,complete,xkkzzv,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x714,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ENS,,,,,,,,,,BA,,BA,No,Gender-quantised,2
6,1.65E+12,1.65E+12,-4,82781,2,questionnaire-5uc8,,20460994,ri0x2syc,6067091,,complete,xkkzzv,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x714,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ENS,,,,,,,,,,BA,,BA,No,Gender-text,
7,1.65E+12,1.65E+12,-4,82781,2,questionnaire-5uc8,,20460994,ri0x2syc,6067091,,complete,xkkzzv,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x714,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ENS,,,,,,,,,,BA,,BA,No,seizures,1
8,1.65E+12,1.65E+12,-4,82781,2,questionnaire-5uc8,,20460994,ri0x2syc,6067091,,complete,xkkzzv,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x714,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ENS,,,,,,,,,,BA,,BA,No,device,1
9,1.65E+12,1.65E+12,-4,82781,2,questionnaire-5uc8,,20460994,ri0x2syc,6067091,,complete,xkkzzv,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x714,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ENS,,,,,,,,,,BA,,BA,No,consent,1
10,1.65E+12,1.65E+12,-4,82781,2,questionnaire-5uc8,,20460994,ri0x2syc,6067091,,complete,xkkzzv,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x714,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,ENS,,,,,,,,,,BA,,BA,No,END QUESTIONNAIRE,13178
1,1.65E+12,1.65E+12,-5,82781,2,questionnaire-5uc8,,20461041,l2fvkix6,6067103,,complete,puguqe,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x722,,Consent + Demographic Qs,5,elimination correct,distraction correct,Accept young,NSE,,,,,,,AB,AB,,,,,No,BEGIN QUESTIONNAIRE,
