"","PID","status","counterbalance","blockorderA1","blockorderA2","blockorderB2","blockorderB1","condition_1","Zone.Type","ratings","condition_2"
"294",8203394,"complete","CounterbalanceB",NA,NA,"ABC","CAB","SingleNT_2","response_slider_endValue","0","single 216"
"366",8203394,"complete","CounterbalanceB",NA,NA,"ABC","CAB","SingleNT_2","response_slider_endValue","0","single 16"
"665",8219174,"complete","CounterbalanceB",NA,NA,"ABC","CAB","SingleNT_2","response_slider_endValue","8","single 216"
"737",8219174,"complete","CounterbalanceB",NA,NA,"ABC","CAB","SingleNT_2","response_slider_endValue","8","single 16"
"811",8213570,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT_2","response_slider_endValue","4","single 16"
"1107",8213570,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT_2","response_slider_endValue","-7","single 216"
"1181",8213565,"complete","CounterbalanceB",NA,NA,"CAB","BCA","SingleNT_2","response_slider_endValue","-3","single 16"
"1477",8213565,"complete","CounterbalanceB",NA,NA,"CAB","BCA","SingleNT_2","response_slider_endValue","-9","single 216"
"1788",8212018,"complete","CounterbalanceB",NA,NA,"ABC","CAB","SingleNT_2","response_slider_endValue","3","single 216"
"1860",8212018,"complete","CounterbalanceB",NA,NA,"ABC","CAB","SingleNT_2","response_slider_endValue","7","single 16"
"1934",8212004,"complete","CounterbalanceB",NA,NA,"CAB","BCA","SingleNT_2","response_slider_endValue","1","single 16"
"2230",8212004,"complete","CounterbalanceB",NA,NA,"CAB","BCA","SingleNT_2","response_slider_endValue","-4","single 216"
"2528",8211957,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT_2","response_slider_endValue","-9","single 216"
"2600",8211957,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT_2","response_slider_endValue","1","single 16"
"2674",8211913,"complete","CounterbalanceB",NA,NA,"ABC","BCA","SingleNT_2","response_slider_endValue","-3","single 16"
"2970",8211913,"complete","CounterbalanceB",NA,NA,"ABC","BCA","SingleNT_2","response_slider_endValue","-9","single 216"
"3044",8204361,"complete","CounterbalanceB",NA,NA,"BCA","BCA","SingleNT_2","response_slider_endValue","4","single 16"
"3340",8204361,"complete","CounterbalanceB",NA,NA,"BCA","BCA","SingleNT_2","response_slider_endValue","5","single 216"
"3414",8204029,"complete","CounterbalanceB",NA,NA,"ABC","ABC","SingleNT_2","response_slider_endValue","0","single 16"
"3710",8204029,"complete","CounterbalanceB",NA,NA,"ABC","ABC","SingleNT_2","response_slider_endValue","0","single 216"
"4008",8203523,"complete","CounterbalanceB",NA,NA,"CAB","BCA","SingleNT_2","response_slider_endValue","-7","single 216"
"4080",8203523,"complete","CounterbalanceB",NA,NA,"CAB","BCA","SingleNT_2","response_slider_endValue","4","single 16"
"4378",8203415,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT_2","response_slider_endValue","-5","single 216"
"4450",8203415,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT_2","response_slider_endValue","-2","single 16"
"4748",8203372,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT_2","response_slider_endValue","-7","single 216"
"4820",8203372,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT_2","response_slider_endValue","2","single 16"
"4894",8203381,"complete","CounterbalanceB",NA,NA,"CAB","BCA","SingleNT_2","response_slider_endValue","0","single 16"
"5190",8203381,"complete","CounterbalanceB",NA,NA,"CAB","BCA","SingleNT_2","response_slider_endValue","0","single 216"
"5264",8186219,"complete","CounterbalanceB",NA,NA,"ABC","CAB","SingleNT_2","response_slider_endValue","10","single 16"
"5560",8186219,"complete","CounterbalanceB",NA,NA,"ABC","CAB","SingleNT_2","response_slider_endValue","-5","single 216"
"5858",8185697,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT_2","response_slider_endValue","6","single 216"
"5930",8185697,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT_2","response_slider_endValue","5","single 16"
"6004",8185751,"complete","CounterbalanceB",NA,NA,"CAB","BCA","SingleNT_2","response_slider_endValue","8","single 16"
"6300",8185751,"complete","CounterbalanceB",NA,NA,"CAB","BCA","SingleNT_2","response_slider_endValue","8","single 216"
"6598",8185507,"complete","CounterbalanceB",NA,NA,"CAB","BCA","SingleNT_2","response_slider_endValue","-7","single 216"
"6670",8185507,"complete","CounterbalanceB",NA,NA,"CAB","BCA","SingleNT_2","response_slider_endValue","6","single 16"
"6744",8185527,"complete","CounterbalanceB",NA,NA,"ABC","CAB","SingleNT_2","response_slider_endValue","6","single 16"
"7040",8185527,"complete","CounterbalanceB",NA,NA,"ABC","CAB","SingleNT_2","response_slider_endValue","6","single 216"
"7338",8185386,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT_2","response_slider_endValue","-8","single 216"
"7410",8185386,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT_2","response_slider_endValue","8","single 16"
"7708",8185381,"complete","CounterbalanceB",NA,NA,"ABC","CAB","SingleNT_2","response_slider_endValue","-9","single 216"
"7780",8185381,"complete","CounterbalanceB",NA,NA,"ABC","CAB","SingleNT_2","response_slider_endValue","5","single 16"
"7854",8178858,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT_2","response_slider_endValue","-2","single 16"
"8150",8178858,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT_2","response_slider_endValue","-6","single 216"
"8448",8178022,"complete","CounterbalanceB",NA,NA,"ABC","CAB","SingleNT_2","response_slider_endValue","7","single 216"
"8520",8178022,"complete","CounterbalanceB",NA,NA,"ABC","CAB","SingleNT_2","response_slider_endValue","5","single 16"
"8594",8177488,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT_2","response_slider_endValue","4","single 16"
"8890",8177488,"complete","CounterbalanceB",NA,NA,"BCA","ABC","SingleNT_2","response_slider_endValue","-9","single 216"
