Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-sece,branch-52yw,branch-k19s,order-3cmg,order-wqw2,randomiser-hyw5,order-fuj5,order-ymml,Randomise questionnaire elements?,Question Key,Response
1,1677169820376,23/02/2023 16:30:20,1677169818702,-6,23/02/2023 10:30:18,122093,5,questionnaire-5uc8,,27507488,BLIND,8177131,,complete,uuhzhc,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,Consent + Demographic Qs,3,elimination correct,distraction correct,Accept young,CAB,CAB,CounterbalanceA,,,No,BEGIN QUESTIONNAIRE,
2,1677169832624,23/02/2023 16:30:32,1677169830973,-6,23/02/2023 10:30:30,122093,5,questionnaire-5uc8,,27507488,BLIND,8177131,,complete,uuhzhc,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1903x929,,Consent + Demographic Qs,3,elimination correct,distraction correct,Accept young,CAB,CAB,CounterbalanceA,,,No,Age,39
3,1677169832769,23/02/2023 16:30:32,1677169830974,-6,23/02/2023 10:30:30,122093,5,questionnaire-5uc8,,27507488,BLIND,8177131,,complete,uuhzhc,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1903x929,,Consent + Demographic Qs,3,elimination correct,distraction correct,Accept young,CAB,CAB,CounterbalanceA,,,No,Age-quantised,23
4,1677169832769,23/02/2023 16:30:32,1677169830974,-6,23/02/2023 10:30:30,122093,5,questionnaire-5uc8,,27507488,BLIND,8177131,,complete,uuhzhc,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1903x929,,Consent + Demographic Qs,3,elimination correct,distraction correct,Accept young,CAB,CAB,CounterbalanceA,,,No,Gender,Male
5,1677169832769,23/02/2023 16:30:32,1677169830974,-6,23/02/2023 10:30:30,122093,5,questionnaire-5uc8,,27507488,BLIND,8177131,,complete,uuhzhc,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1903x929,,Consent + Demographic Qs,3,elimination correct,distraction correct,Accept young,CAB,CAB,CounterbalanceA,,,No,Gender-quantised,1
6,1677169832769,23/02/2023 16:30:32,1677169830974,-6,23/02/2023 10:30:30,122093,5,questionnaire-5uc8,,27507488,BLIND,8177131,,complete,uuhzhc,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1903x929,,Consent + Demographic Qs,3,elimination correct,distraction correct,Accept young,CAB,CAB,CounterbalanceA,,,No,Gender-text,
7,1677169832769,23/02/2023 16:30:32,1677169830974,-6,23/02/2023 10:30:30,122093,5,questionnaire-5uc8,,27507488,BLIND,8177131,,complete,uuhzhc,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1903x929,,Consent + Demographic Qs,3,elimination correct,distraction correct,Accept young,CAB,CAB,CounterbalanceA,,,No,seizures,1
8,1677169832769,23/02/2023 16:30:32,1677169830975,-6,23/02/2023 10:30:30,122093,5,questionnaire-5uc8,,27507488,BLIND,8177131,,complete,uuhzhc,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1903x929,,Consent + Demographic Qs,3,elimination correct,distraction correct,Accept young,CAB,CAB,CounterbalanceA,,,No,device,1
9,1677169832769,23/02/2023 16:30:32,1677169830975,-6,23/02/2023 10:30:30,122093,5,questionnaire-5uc8,,27507488,BLIND,8177131,,complete,uuhzhc,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1903x929,,Consent + Demographic Qs,3,elimination correct,distraction correct,Accept young,CAB,CAB,CounterbalanceA,,,No,consent,1
10,1677169832769,23/02/2023 16:30:32,1677169830975,-6,23/02/2023 10:30:30,122093,5,questionnaire-5uc8,,27507488,BLIND,8177131,,complete,uuhzhc,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1903x929,,Consent + Demographic Qs,3,elimination correct,distraction correct,Accept young,CAB,CAB,CounterbalanceA,,,No,END QUESTIONNAIRE,12273
